Name,order,SDG,target,Attachments (from SDG) (from target),Target description,Indicators,Type,Availability of data,Disaggregation level,Frequency of data,2020 Value,Remarks,SDGs interactions,SDGs interactions 2,Gaph 1,Graph 2,Graph 3,Graph 4,Graph 5,Graph 6,Graph 7,Resource Library,Multidimensional Poverty Assessment,Experts copy,Referential,I&D Indicators,LNOB Assessment copy,Social Inequalities copy,Sectoral Alignment with Targets (SAT) copy,Horizontal Policy Coherence (HPC) copy,Sustainability Accelerators Analysis (SAA) copy,Policy Intervention Analysis (PIA) Task,AllSDG-indicators,SAT-Task copy,SAT-Task copy,LPR-SI-Task,LPR-EI-Task,Africa Targets Benchmarking (ATB)
N020302,46,SDG 2,T0023,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","Total agriculture and
agro-based industr",Additional indicator to be used as National measurement,,,,,,,,https://ourworldindata.org/grapher/income-small-scale-food-producers?region=Africa,,,,,,,,,,,,,,,,,,,,,,,
C020302,47,SDG 2,T0023,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment","2.3.2 Average income of small-scale food producers, by sex and indigenous status",Global SDG indicator,,,,,, - Analysis of interaction between 7.2 and 2.3,,,,,,,,,,,"Abdulmajid Abbas Danmaliki,Abiodun Odunuga",,,,,,,,,,,,,,
C020401,48,SDG 2,T0024,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",2.4.1 Proportion of agricultural area under productive and sustainable agriculture,Global SDG indicator,,,,,,""" - Analysis of interaction between 7.2, 7.3 and 2.3, 2.4"""," - Analysis of interaction between 2.4 and 1.5,"" - Analysis of interaction between 2.1, 2.2, 2.3, 2.4 and 3.3"", - Analysis of interaction between 2.4 and 6.3, - Analysis of interaction between 2.4 and 6.6,"" - Analysis of interaction between 2.3, 2.4 and 7.1, 7.2"","" - Analysis of interaction between 2.4, 2.5 and 13.1"","" - Analysis of interaction between 2.3, 2.4, 2.5 and 13.b"","" - Analysis of interaction between 2.4 and 15.1, 15.2, 15.3, 15.4"","" - Analysis of interaction between 2.3, 2.4 and 15.3, 15.5, 15.8""",,,,,,,,,,Beda  Abel,,,,,,,,,,,,,,
C020501,49,SDG 2,T0025,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.5 By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",2.5.1 Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Global SDG indicator,,,,,, - Analysis of interaction between 14.5 and 2.5,""" - Analysis of interaction between 2.4, 2.5 and 13.1"","" - Analysis of interaction between 2.3, 2.4, 2.5 and 13.b""",https://ourworldindata.org/grapher/number-of-accessions-of-plant-genetic-resources-secured-in-conservation-facilities?region=Africa,https://ourworldindata.org/grapher/proportion-of-animal-breeds-genetic-conservation?region=Africa,,,,,,,,Cleophas Tavaya,,,,,,,,,,,,,,
C020502,50,SDG 2,T0025,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.5 By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.2 Proportion of local breeds classified as being at risk, not at risk or at unknown level of risk of extinction",Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/proportion-of-local-breeds-at-risk-of-extinction?region=Africa,,,,,,,,,"""Zerihun Desalegn Gebregiorgis, PhD""",,,,,,,,,,,,,,
C020a01,51,SDG 2,T002a,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.1 The agriculture orientation index for government expenditures,Global SDG indicator,,,,,,," - Analysis of interaction between 2.a and 5.b,"" - Analysis of interaction between 2.a and 13.2, 13.3, 13.b"","" - Analysis of interaction between 2.a and 15.a, 15.b""",https://ourworldindata.org/grapher/agriculture-orientation-index?region=Africa,,,,,,,,,Geraldine Regina Ngobe Njumbe,,,,,,,,,,,,,,
C020a02,52,SDG 2,T002a,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2.a.2 Total official flows (official development assistance plus other official flows) to the agriculture sector,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/total-financial-assistance-and-flows-for-agriculture-by-recipient?region=Africa,,,,,,,,,Geraldine Regina Ngobe Njumbe,,,,,,,,,,,,,,
C020b01,53,SDG 2,T002b,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.b Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round",2.b.1 Agricultural export subsidies,Global SDG indicator,,,,,,, - Analysis of interaction between 2.b and 1.b,https://ourworldindata.org/grapher/agricultural-export-subsidies?region=Africa,,,,,,,,,"""Zerihun Desalegn Gebregiorgis, PhD""",,,,,,,,,,,,,,
C020c01,54,SDG 2,T002c,sdg2.png (https://dl.airtable.com/.attachments/ba5b25cf108c84752dfb460fff51cdf9/b9336fe6/sdg2.png),"2.c Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility",2.c.1 Indicator of food price anomalies,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/domestic-food-price-volatility-index?region=Africa,,,,,,,,,"""Zerihun Desalegn Gebregiorgis, PhD""",,,,,,,,,,,,,,
C030101,55,SDG 3,T0031,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.1 By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births",3.1.1 Maternal mortality ratio,Global SDG indicator,,,,,,""" - Analysis of interaction between 2.1, 2.2 and 3.1, 3.2"","" - Analysis of interaction between 2.3 and 3.9, 3.1, 3.2, 3.4"","" - Analysis of interaction between 3.8 and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.a"","" - Analysis of interaction between 3.b, 3.c and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.a"""," - Analysis of interaction between 3.1 and 3.3,"" - Analysis of interaction between 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9 and 8.1, 8.5, 8.6"","" - Analysis of interaction between 3.1, 3.2, 3.3 and 8.5""",https://ourworldindata.org/grapher/maternal-mortality-ratio-sdgs?region=Africa,,,,,,,,,"Bourahima Konkobo,Fortunate Machingura",,"""Maternal mortality rate (per 100,000 live births) (from SDG 3 Progress)""",,,,,SDN2021-CSSSPA-SAA-PSP,,,,,,,
C030102,56,SDG 3,T0031,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.1 By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births",3.1.2 Proportion of births attended by skilled health personnel,Global SDG indicator,,,,,,,""" - Analysis of interaction between 3.1, 3.2 and 2.3""",https://ourworldindata.org/grapher/births-attended-by-health-staff-sdgs?region=Africa,,,,,,,,,"Bourahima Konkobo,Fortunate Machingura",,Births attended by skilled health personnel (%),,,,,,,,,,,,
C030201,57,SDG 3,T0032,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",3.2.1 Under‑5 mortality rate,Global SDG indicator,,,,,,""" - Analysis of interaction between 2.1, 2.2 and 3.1, 3.2"","" - Analysis of interaction between 2.3 and 3.9, 3.1, 3.2, 3.4"","" - Analysis of interaction between 3.7 and 3.2, 3.3"","" - Analysis of interaction between 3.8 and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.a"","" - Analysis of interaction between 3.b, 3.c and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.a""",""" - Analysis of interaction between 3.1, 3.2 and 2.3"","" - Analysis of interaction between 3.2 and 3.3, 3.4"","" - Analysis of interaction between 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9 and 8.1, 8.5, 8.6"","" - Analysis of interaction between 3.1, 3.2, 3.3 and 8.5"", - Analysis of interaction between 3.2 and 11.1",https://ourworldindata.org/grapher/child-mortality-rate-sdgs?region=Africa,,,,,,,,Health,"""Adamu Gelaw, M.D "",Foluke Omoworare",,"""Neonatal mortality rate (per 1,000 live births)""",,,,,SDN2021-CSSSPA-SAA-PSP,,,,,,,
C030202,58,SDG 3,T0032,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under‑5 mortality to at least as low as 25 per 1,000 live births",3.2.2 Neonatal mortality rate,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/neonatal-mortality-rate-sdgs?region=Africa,,,,,,,,,"""Adamu Gelaw, M.D """,,,,,,,,,,,,,,
C030301,59,SDG 3,T0033,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.1 Number of new HIV infections per 1, 000 uninfected population, by sex, age and key populations",Global SDG indicator,,,,,,""" - Analysis of interaction between 2.1, 2.2, 2.3, 2.4 and 3.3"", - Analysis of interaction between 2.3 and 3.3, - Analysis of interaction between 3.1 and 3.3,"" - Analysis of interaction between 3.2 and 3.3, 3.4"","" - Analysis of interaction between 3.7 and 3.2, 3.3"","" - Analysis of interaction between 3.8 and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.a"","" - Analysis of interaction between 3.b, 3.c and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.a"""," - Analysis of interaction between 3.3 and 2.3, - Analysis of interaction between 3.3 and 2.3,"" - Analysis of interaction between 3.3 and 3.5, 3.a, 3.b"","" - Analysis of interaction between 3.3, 3.9 and 8.1"","" - Analysis of interaction between 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9 and 8.1, 8.5, 8.6"","" - Analysis of interaction between 3.1, 3.2, 3.3 and 8.5"", - Analysis of interaction between 3.3 and 11.1",https://ourworldindata.org/grapher/incidence-of-hiv-sdgs?region=Africa,,,,,,,,,"Abdulmajid Abbas Danmaliki,""Mohammed Makame, M.D""",,"""New HIV infections (per 1,000)""",,,,,,SDN2021-CSSSPA-PIA-TSD,,,,,,
C030302,60,SDG 3,T0033,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.2 Tuberculosis incidence per 100, 000 population",Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/incidence-of-tuberculosis-sdgs?region=Africa,,,,,,,,,"""Attahir Abubakar, PhD"",Foluke Omoworare",,"""Incidence of tuberculosis (per 100,000 population)""",,,,,,,,,,,,
C030303,61,SDG 3,T0033,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.3 Malaria incidence per 1, 000 population",Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/incidence-of-malaria-sdgs?region=Africa,,,,,,,,,"Abdulmajid Abbas Danmaliki,Elias Ponsiano",,,,,,,,,,,,,,
C030304,62,SDG 3,T0033,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases","3.3.4 Hepatitis B incidence per 100, 000 population",Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/hepatitis-b-incidence-sdgs?region=Africa,,,,,,,,,"Abdulmajid Abbas Danmaliki,Foluke Omoworare",,,,,,,,,,,,,,
C030305,63,SDG 3,T0033,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases",3.3.5 Number of people requiring interventions against neglected tropical diseases,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/interventions-ntds-sdgs?region=Africa,,,,,,,,,"Abdulmajid Abbas Danmaliki,Foluke Omoworare",,,,,,,,,,,,,,
C030401,64,SDG 3,T0034,SDG3.png (https://dl.airtable.com/.attachments/6f9868efa337a111e8b17cda92a7dcb0/a7dedc31/SDG3.png),"3.4 By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being","3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Global SDG indicator,,,,,,""" - Analysis of interaction between 2.3 and 3.9, 3.1, 3.2, 3.4"", - Analysis of interaction between 2.3 and 3.4,"" - Analysis of interaction between 3.2 and 3.3, 3.4"","" - Analysis of interaction between 3.8 and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.a"","" - Analysis of interaction between 3.b, 3.c and 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.a"", - Analysis of interaction between 7.3 and 3.4",""" - Analysis of interaction between 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9 and 8.1, 8.5, 8.6"", - Analysis of interaction between 3.4 and 11.1, - Analysis of interaction between 3.4 and 11.2, - Analysis of interaction between 3.4 and 13.2",https://ourworldindata.org/grapher/mortality-from-ncds-sdgs?region=Africa,,,,,,,,,"""Attahir Abubakar, PhD""",,"""Age-standardised death rate due to cardiovascular disease, cancer, diabetes, and""",,,,,,,,,,,,
